CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
16-01-0138-46,16-031,ALTA VERAPAZ,COBAN,COLEGIO COBAN,KM.2 SALIDA A SAN JUAN CHAMELCO ZONA 8,['77945104'],PATRICIO NAJARRO ASENCIO,GUSTAVO ADOLFO SIERRA POP,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO,ALTA VERAPAZ
16-01-0139-46,16-031,ALTA VERAPAZ,COBAN,COLEGIO PARTICULAR MIXTO VERAPAZ,KM 209.5 ENTRADA A LA CIUDAD,['77367402'],PATRICIO NAJARRO ASENCIO,GILMA DOLORES GUAY PAZ DE LEAL,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO,ALTA VERAPAZ
16-01-0140-46,16-031,ALTA VERAPAZ,COBAN,COLEGIO LA INMACULADA,7A. AVENIDA 11-109 ZONA 6,['78232301'],PATRICIO NAJARRO ASENCIO,VIRGINIA SOLANO SERRANO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO,ALTA VERAPAZ
16-01-0141-46,16-005,ALTA VERAPAZ,COBAN,ESCUELA NACIONAL DE CIENCIAS COMERCIALES,2A CALLE 11-10 ZONA 2,['79514215'],NORA LILIANA FIGUEROA HERNANDEZ,HECTOR ROLANDO CHUN POOU,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO,ALTA VERAPAZ
16-01-0142-46,16-005,ALTA VERAPAZ,COBAN,INSTITUTO NORMAL MIXTO DEL NORTE EMILIO ROSALES PONCE,3A AVE 6-23 ZONA 11,['79521468'],NORA LILIANA FIGUEROA HERNANDEZ,VICTOR HUGO DOMINGUEZ REYES,OFICIAL,URBANA,ABIERTA,BILINGUE,VESPERTINA,DIARIO,ALTA VERAPAZ
16-01-0143-46,16-031,ALTA VERAPAZ,COBAN,COLEGIO PARTICULAR MIXTO IMPERIAL,5A. CALLE 1-9 ZONA 3,['57101061'],PATRICIO NAJARRO ASENCIO,MYNOR GUSTAVO IPINA ESPANA,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,ALTA VERAPAZ
16-01-0155-46,16-031,ALTA VERAPAZ,COBAN,LICEO MODERNO LATINO,11 AVENIDA 5-17 ZONA 4,['79522555'],PATRICIO NAJARRO ASENCIO,HECTOR ARMANDO TEYUL CHEN,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,ALTA VERAPAZ
16-01-0428-46,16-005,ALTA VERAPAZ,COBAN,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,"DIAGONAL 08 8-05 ZONA 8, BARRIO CANTÓN LAS CASAS",['77930045'],NORA LILIANA FIGUEROA HERNANDEZ,HELSON MARCO CHEN GUTIERREZ,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO,ALTA VERAPAZ
16-01-0471-46,16-031,ALTA VERAPAZ,COBAN,COLEGIO DE INFORMATICA CENINFAV,12 AV. 2-12 ZONA 1,['79545566'],PATRICIO NAJARRO ASENCIO,MARIA MAGDALENA BOL CU,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO,ALTA VERAPAZ
16-01-0481-46,16-031,ALTA VERAPAZ,COBAN,LICEO AMERICANO DEL NORTE,5TA. CALLE 2-23 ZONA 4,['79514754'],PATRICIO NAJARRO ASENCIO,JOSE CUPERTINO REYES GARCIA,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO,ALTA VERAPAZ
16-01-0483-46,16-031,ALTA VERAPAZ,COBAN,LICEO AMERICANO DEL NORTE,5TA. CALLE 2-23 ZONA 4,['79514754'],PATRICIO NAJARRO ASENCIO,JOSE CUPERTINO REYES GARCIA,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,ALTA VERAPAZ
16-01-0558-46,16-005,ALTA VERAPAZ,COBAN,INSTITUTO NORMAL PREPRIMARIA BILINGUE ADSCRITO AL INSTITUTO NORMAL MIXTO DEL NORTE EMILIO ROSALES PONCE,3A. AVE. 6-23 ZONA 11,['79521468'],NORA LILIANA FIGUEROA HERNANDEZ,VICTOR HUGO DOMINGUEZ REYES,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO,ALTA VERAPAZ
16-01-0559-46,16-005,ALTA VERAPAZ,COBAN,INSTITUTO NORMAL PRIMARIA BILINGUE INTERCULTURAL ADS AL INSTITUTO EMILIO ROSALES PONCE,3A. AVE. 6-23 ZONA 11,['79521468'],NORA LILIANA FIGUEROA HERNANDEZ,VICTOR HUGO DOMINGUEZ REYES,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO,ALTA VERAPAZ
16-01-0563-46,16-031,ALTA VERAPAZ,COBAN,CENTRO DE FORMACION INTEGRAL LAS CONCHAS FMG,ALDEA LAS CONCHAS,['79522793'],PATRICIO NAJARRO ASENCIO,DAVID WALDEMAR URRUTIA CHOC,PRIVADO,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO,ALTA VERAPAZ
16-01-0565-46,16-031,ALTA VERAPAZ,COBAN,INSTITUTO MIXTO PRIVADO SALUD Y DESARROLLO,DIAGNONAL 1 1-26 ZONA 1,['51922050'],PATRICIO NAJARRO ASENCIO,SAMANTHA GABRIELA DE LA CRUZ MORALES,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,ALTA VERAPAZ
16-01-0568-46,16-031,ALTA VERAPAZ,COBAN,INSTITUTO PRIVADO RAUL CHENAL HEINEMANN,5A. CALLE 1-06 ZONA 3,['79510413'],PATRICIO NAJARRO ASENCIO,SILVIA BEATRIZ SOTO CHEN,PRIVADO,URBANA,ABIERTA,MONOLINGUE,NOCTURNA,DIARIO,ALTA VERAPAZ
16-01-0572-46,16-031,ALTA VERAPAZ,COBAN,LICEO MIGUEL ANGEL ASTURIAS,7A. CALLE 1-13 ZONA 3,['79511103'],PATRICIO NAJARRO ASENCIO,JAYRON ARIEL COY CACAO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO,ALTA VERAPAZ
16-01-0573-46,16-031,ALTA VERAPAZ,COBAN,COLEGIO CRISTIANO BILINGUE VERBO,4A. CALLE A 4-32 ZONA 8,['77945181'],PATRICIO NAJARRO ASENCIO,LESLY EUGENIA CHOCOOJ VIDAURRE,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO,ALTA VERAPAZ
16-01-0574-46,16-005,ALTA VERAPAZ,COBAN,ESCUELA NACIONAL DE CIENCIAS COMERCIALES,2A. CALLE 11-10 ZONA 2,['53530198'],NORA LILIANA FIGUEROA HERNANDEZ,HECTOR ROLANDO CHUN POOU,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO,ALTA VERAPAZ
16-01-0583-46,16-031,ALTA VERAPAZ,COBAN,COLEGIO NUEVOS SENDEROS,"3A. CALLE 3-74, ZONA 3",['79417300'],PATRICIO NAJARRO ASENCIO,ZOYLA ARGENTINA MOLLINEDO ALVARADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO,ALTA VERAPAZ
16-01-0604-46,16-031,ALTA VERAPAZ,COBAN,INSTITUTO PRIVADO RAUL CHENAL HEINEMANN,"5A. CALLE 1-06, ZONA 3",['79510413'],PATRICIO NAJARRO ASENCIO,SILVIA BEATRIZ SOTO CHEN,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO,ALTA VERAPAZ
16-01-0609-46,16-031,ALTA VERAPAZ,COBAN,INSTITUTO MIXTO DE EDUCACION BILINGUE INTERCULTURAL -IMEBI-,LOTIFICACION CHIVENCORRAL,['30367501'],PATRICIO NAJARRO ASENCIO,JUAN PASCUAL LUCAS ANTONIO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO,ALTA VERAPAZ
16-01-0612-46,16-031,ALTA VERAPAZ,COBAN,INSTITUTO DE MAGISTERIO DE EDUCACION PREPRIMARIA INFANTIL BILINGUE INTERCULTURAL LUZ DEL SABER,"CALZADA RABIN AJAU, ZONA 1",['57565646'],PATRICIO NAJARRO ASENCIO,THELMA MARTINA POP TZIR,PRIVADO,RURAL,ABIERTA,BILINGUE,VESPERTINA,DIARIO,ALTA VERAPAZ
16-01-0613-46,16-031,ALTA VERAPAZ,COBAN,COLEGIO PARTICULAR MIXTO ANTON DE MONTESINOS,1A. CALLE 7-22 ZONA 3,['77259205'],PATRICIO NAJARRO ASENCIO,MARGARITA VILLALOBOS LIGORRIA,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO,ALTA VERAPAZ
16-01-0616-46,16-037,ALTA VERAPAZ,COBAN,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,ALDEA SALACUIM,['57655184'],CESAR RIGOBERTO CUC CAAL,AXEL ABELARDO CHUB LEAL,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO,ALTA VERAPAZ
16-01-0642-46,16-005,ALTA VERAPAZ,COBAN,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,ALDEA CHOVAL,['53331646'],NORA LILIANA FIGUEROA HERNANDEZ,GILDA ARACELY WELLMANN DUARTE,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO,ALTA VERAPAZ
16-01-0651-46,16-031,ALTA VERAPAZ,COBAN,CENTRO DE FORMACIN INTEGRAL CIUDAD DE LA ESPERANZA,6A. AV. 10-68 ZONA 12 COLONIA EL ESFUERZO I,['77367652'],PATRICIO NAJARRO ASENCIO,BYRON ANIBAL GOMEZ GATICA,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO,ALTA VERAPAZ
16-01-0652-46,16-037,ALTA VERAPAZ,COBAN,INSTITUTO MAYA COMUNITARIO KAMOLBE,ALDEA NIMLAJACOC,['30621374'],CESAR RIGOBERTO CUC CAAL,JOSE LINO QUIB CHE,PRIVADO,RURAL,ABIERTA,BILINGUE,VESPERTINA,DIARIO,ALTA VERAPAZ
16-01-0664-46,16-031,ALTA VERAPAZ,COBAN,LICEO AMERICANO DEL NORTE,5TA. AVENIDA 2-23 ZONA 4,['79514754'],PATRICIO NAJARRO ASENCIO,JOSE CUPERTINO REYES GARCIA,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO,ALTA VERAPAZ
16-01-0668-46,16-031,ALTA VERAPAZ,COBAN,COLEGIO PARTICULAR MIXTO IMPERIAL,"5A CALLE 1-98, ZONA 3",['57101061'],PATRICIO NAJARRO ASENCIO,SUSELY BEATRIZ ELIAS POP,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,DIARIO,ALTA VERAPAZ
16-01-0671-46,16-031,ALTA VERAPAZ,COBAN,COLEGIO PRIVADO MIXTO TECNOLGICO EN INFORMTICA,2A. CALLE 12-23 ZONA 4,['79521190'],PATRICIO NAJARRO ASENCIO,JORGE SALVADOR JUAREZ SIERRA,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,DIARIO,ALTA VERAPAZ
16-01-0672-46,16-031,ALTA VERAPAZ,COBAN,ICA,11AVENIDA 1-10 ZONA 1,['33509500'],PATRICIO NAJARRO ASENCIO,LAIDY ANDREA CHOCOOJ TIUL,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO,ALTA VERAPAZ
16-01-0678-46,16-031,ALTA VERAPAZ,COBAN,COLEGIO LA LIBERTAD,3A. AVENIDA CINCO GUION DOCE 5-12,['48979726'],PATRICIO NAJARRO ASENCIO,SILVIA YOLANDA CAAL QUIM,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,ALTA VERAPAZ
16-01-0681-46,16-031,ALTA VERAPAZ,COBAN,INSTITUTO MIXTO PRIVADO SANTO DOMINGO,"2A. CALLE 11-10, ZONA 2",['79529830'],PATRICIO NAJARRO ASENCIO,AMERICA NUILA LUTHER,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,ALTA VERAPAZ
16-01-0690-46,16-031,ALTA VERAPAZ,COBAN,ISEA LA ESCUELA EN SU CASA,1A. AV. 4-24 ZONA 2,['77930803'],PATRICIO NAJARRO ASENCIO,LUDWING JOEL NORIEGA MORALES,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,A DISTANCIA,ALTA VERAPAZ
16-01-0694-46,16-031,ALTA VERAPAZ,COBAN,COLEGIO LA LIBERTAD,3A. AV. 5-12 ZONA 4,['55564568'],PATRICIO NAJARRO ASENCIO,SILVIA YOLANDA CAAL QUIM,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,SEMIPRESENCIAL,ALTA VERAPAZ
16-01-0703-46,16-031,ALTA VERAPAZ,COBAN,INSTITUTO MIXTO PRIVADO SALUD Y DESARROLLO,DIAGNONAL 1 1-26 ZONA 1,['51922050'],PATRICIO NAJARRO ASENCIO,SAMANTHA GABRIELA DE LA CRUZ MORALES,PRIVADO,URBANA,ABIERTA,BILINGUE,VESPERTINA,DIARIO,ALTA VERAPAZ
16-01-0705-46,16-050,ALTA VERAPAZ,COBAN,PROGRAMA NACIONAL DE EDUCACIN ALTERNATIVA PRONEA,7A. AV. 2-18 D ZONA 1,['45587767'],MAXIMILIANO CHUB ICAL,--,OFICIAL,RURAL,ABIERTA,MONOLINGUE,DOBLE,A DISTANCIA,ALTA VERAPAZ
16-01-0710-46,16-031,ALTA VERAPAZ,COBAN,OXFORD BILINGUAL SCHOOL,2DA. CALLE 16-94 ZONA 4,['79513898'],PATRICIO NAJARRO ASENCIO,DARWIN ROBERTO IGLESIAS DE LA CRUZ,PRIVADO,URBANA,ABIERTA,BILINGUE,MATUTINA,DIARIO,ALTA VERAPAZ
16-01-0712-46,16-050,ALTA VERAPAZ,COBAN,ENBI CENTRO DE EDUCACIN EXTRAESCOLAR -CEEX-,10 AVENIDA 1-25 ZONA 3,['79521302'],MAXIMILIANO CHUB ICAL,ANABELA CECILIA BOL CAAL,OFICIAL,URBANA,ABIERTA,BILINGUE,VESPERTINA,DIARIO,ALTA VERAPAZ
16-01-0909-46,16-031,ALTA VERAPAZ,COBAN,ISEA LA ESCUELA EN SU CASA,"2A. CALLE A 11-10, ZONA 1",['77256954'],PATRICIO NAJARRO ASENCIO,LUDWING JOEL NORIEGA MORALES,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SINJORNADA,SEMIPRESENCIAL,ALTA VERAPAZ
16-01-0910-46,16-031,ALTA VERAPAZ,COBAN,COLEGIO DE INFORMATICA CENINFAV,"12 AVENIDA 2-12, ZONA 1",['79521765'],PATRICIO NAJARRO ASENCIO,HECTOR VIDAL BOL CU,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SINJORNADA,SEMIPRESENCIAL,ALTA VERAPAZ
16-01-0912-46,16-031,ALTA VERAPAZ,COBAN,COLEGIO PRIVADO MIXTO TECNOLOGICO EN INFORMATICA,"2A. CALLE 12-23, ZONA 4",['79511459'],PATRICIO NAJARRO ASENCIO,DANIEL BERNARDO RAMIREZ GONZALEZ,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SINJORNADA,SEMIPRESENCIAL,ALTA VERAPAZ
16-01-0913-46,16-031,ALTA VERAPAZ,COBAN,INSTITUTO MIXTO PRIVADO SALUD Y DESARROLLO,"DIAGONAL 1 1-26, ZONA 1",['59584790'],PATRICIO NAJARRO ASENCIO,SAMANTHA GABRIELA DE LA CRUZ MORALES,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SINJORNADA,SEMIPRESENCIAL,ALTA VERAPAZ
16-01-0915-46,16-031,ALTA VERAPAZ,COBAN,INSTITUTO MIXTO PRIVADO SANTO DOMINGO,"2A. CALLE 11-10, ZONA 2",['79529830'],PATRICIO NAJARRO ASENCIO,AMERICA NUILA LUTHER,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SINJORNADA,SEMIPRESENCIAL,ALTA VERAPAZ
16-01-0917-46,16-031,ALTA VERAPAZ,COBAN,INSTITUTO PRIVADO MIXTO MONJA BLANCA,"DIAGONAL 3 14-11, ZONA 2",['79513896'],PATRICIO NAJARRO ASENCIO,EDWIN ARMANDO CATUN CAAL,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SINJORNADA,SEMIPRESENCIAL,ALTA VERAPAZ
16-01-0918-46,16-031,ALTA VERAPAZ,COBAN,LICEO PREUNIVERSITARIO DE NORTE,"3A. AVENIDA 8-32, ZONA 10",['79417346'],PATRICIO NAJARRO ASENCIO,ZOILA IMENA LOPEZ RODAS,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SINJORNADA,SEMIPRESENCIAL,ALTA VERAPAZ
16-01-0919-46,16-031,ALTA VERAPAZ,COBAN,LICEO MIXTO PARTICULAR SAN BENITO,"9A. AVENIDA 4-55, ZONA 4",['37058145'],PATRICIO NAJARRO ASENCIO,HENRI MARCO ARTOLA TEYUL,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO,ALTA VERAPAZ
16-01-0922-46,16-031,ALTA VERAPAZ,COBAN,COLEGIO LA LIBERTAD,"3A. AVENIDA 5-12, ZONA 4",['33857209'],PATRICIO NAJARRO ASENCIO,SILVIA YOLANDA CAAL QUIM,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SINJORNADA,SEMIPRESENCIAL,ALTA VERAPAZ
16-01-0926-46,16-005,ALTA VERAPAZ,COBAN,INSTITUTO NACIONAL DE EDUCACIN DIVERSIFICADA,2A. CALLE 1-99 ZONA 4 COBAN,['33622052'],NORA LILIANA FIGUEROA HERNANDEZ,SELVIN EDDER HERNANDEZ MOLINA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,NOCTURNA,DIARIO,ALTA VERAPAZ
16-01-0927-46,16-005,ALTA VERAPAZ,COBAN,INSTITUTO NACIONAL DE EDUCACIN DIVERSIFICADA,2A. CALLE 1-99 ZONA 4,['33622052'],NORA LILIANA FIGUEROA HERNANDEZ,SELVIN EDDER HERNANDEZ MOLINA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,NOCTURNA,DIARIO,ALTA VERAPAZ
16-01-0986-46,16-031,ALTA VERAPAZ,COBAN,COLEGIO MIXTO LA EXCELENCIA,"2A. CALLE 8-18 ZONA 4, COBAN",['41114848'],PATRICIO NAJARRO ASENCIO,ZULY BEATRIZ LOPEZ WINTER,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,ALTA VERAPAZ
16-01-0987-46,16-031,ALTA VERAPAZ,COBAN,COLEGIO MIXTO LA EXCELENCIA,"2A. CALLE 8-18 ZONA 4, COBAN",['41114848'],PATRICIO NAJARRO ASENCIO,ZULY BEATRIZ LOPEZ WINTER,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SINJORNADA,SEMIPRESENCIAL,ALTA VERAPAZ
16-01-0990-46,16-031,ALTA VERAPAZ,COBAN,LICEO MIXTO PARTICULAR SAN BENITO,"9A. AVENIDA 4-55, ZONA 4",['37058145'],PATRICIO NAJARRO ASENCIO,HENRI MARCO ARTOLA TEYUL,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SINJORNADA,SEMIPRESENCIAL,ALTA VERAPAZ
16-01-0991-46,16-031,ALTA VERAPAZ,COBAN,LICEO MIXTO PARTICULAR SAN BENITO,"9A. AVENIDA 4-55, ZONA 4",['37058145'],PATRICIO NAJARRO ASENCIO,HENRI MARCO ARTOLA TEYUL,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,ALTA VERAPAZ
16-01-0994-46,16-050,ALTA VERAPAZ,COBAN,CENTRO DE EDUCACIN EXTRAESCOLAR -CEEX-,BARRIO CHIVENCORRAL ZONA 12,['49972934'],MAXIMILIANO CHUB ICAL,HENRRY ALEXANDER DE LOS SANTOS MUTZ,OFICIAL,URBANA,ABIERTA,MONOLINGUE,DOBLE,DIARIO,ALTA VERAPAZ
16-01-0997-46,16-004,ALTA VERAPAZ,COBAN,CENTRO EDUCATIVO BETANIA,SAN BENITO I,['42183442'],AQUILES GIOVANI BAC GUEVARA,SANDRA JULIETA PEREZ RAMOS,PRIVADO,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO,ALTA VERAPAZ
16-01-1001-46,16-031,ALTA VERAPAZ,COBAN,LICEO DR RICARDO BRESSANI,1A. AVENIDA 5-56 ZONA 2,['79521633'],PATRICIO NAJARRO ASENCIO,BELSY CLARIBEL SANTISTEBAN ARCHILA,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,VIRTUAL A DISTANCIA,ALTA VERAPAZ
16-01-1002-46,16-031,ALTA VERAPAZ,COBAN,COLEGIO CRISTIANO ELIM,"DIAGONAL 3, 11-04, ZONA 2",['44779923'],PATRICIO NAJARRO ASENCIO,SELVIN DARIO ROSALES AGUIRRE,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO,ALTA VERAPAZ
16-01-1005-46,16-031,ALTA VERAPAZ,COBAN,LICEO CHAABIL BE,8A. AVENIDA 4-39 ZONA 4,['56969292'],PATRICIO NAJARRO ASENCIO,ALLAN NOEL MACZ CHIQUIN,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,VIRTUAL A DISTANCIA,ALTA VERAPAZ
16-01-1008-46,16-031,ALTA VERAPAZ,COBAN,COLEGIO HISPANOAMERICANO,9A. AVENIDA 2-22 ZONA 1,['77738763'],PATRICIO NAJARRO ASENCIO,OCTAVIO ISMAEL BATZ CHOC,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO,ALTA VERAPAZ
16-01-1009-46,16-031,ALTA VERAPAZ,COBAN,COLEGIO BILINGE BET-LUZ,7A. CALLE 11-233 ZONA 6,['45379823'],PATRICIO NAJARRO ASENCIO,CELESTE LETICIA YAT MACZ,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO,ALTA VERAPAZ
16-01-1174-46,16-031,ALTA VERAPAZ,COBAN,INSTITUTO PRIVADO RAUL CHENAL HEINEMANN,5A. CALLE 1-06 ZONA 3,['79510413'],PATRICIO NAJARRO ASENCIO,SILVIA BEATRIZ SOTO CHEN,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO,ALTA VERAPAZ
16-01-1175-46,16-031,ALTA VERAPAZ,COBAN,INSTITUTO PRIVADO RAUL CHENAL HEINEMANN,5TA. CALLE 1-06 ZONA 3,['79520414'],PATRICIO NAJARRO ASENCIO,SILVIA BEATRIZ SOTO CHEN,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,ALTA VERAPAZ
16-01-1394-46,16-031,ALTA VERAPAZ,COBAN,INSTITUTO PRIVADO MIXTO MONJA BLANCA,"DIAGONAL 3, 14-11 ZONA 2",['79513896'],PATRICIO NAJARRO ASENCIO,EDWIN ARMANDO CATUN CAAL,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,ALTA VERAPAZ
16-01-1469-46,16-031,ALTA VERAPAZ,COBAN,COLEGIO PRIVADO MIXTO TECNOLOGICO EN INFORMATICA,2A. CALLE 12-23 ZONA 4,['79511459'],PATRICIO NAJARRO ASENCIO,DANIEL BERNARDO RAMIREZ GONZALEZ,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,ALTA VERAPAZ
16-01-2156-46,16-031,ALTA VERAPAZ,COBAN,COLEGIO PARTICULAR MIXTO IMPERIAL,5A. CALLE 1-98 ZONA 3,['57101061'],PATRICIO NAJARRO ASENCIO,FAREWELL LUTHER OSORIO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO,ALTA VERAPAZ
16-01-3041-46,16-005,ALTA VERAPAZ,COBAN,INSTITUTO DE BACHILLERATO ADS AL INSTITUTO NORMAL MIXTO DEL NORTE EMILIO ROSALES PONCE,3AVENIDA 6-23 ZONA 11,['79521468'],NORA LILIANA FIGUEROA HERNANDEZ,VICTOR HUGO DOMINGUEZ REYES,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO,ALTA VERAPAZ
16-01-6190-46,16-031,ALTA VERAPAZ,COBAN,LICEO MIGUEL ANGEL ASTURIAS,7A. CALLE 1-13 ZONA 3,['79511103'],PATRICIO NAJARRO ASENCIO,JAYRON ARIEL COY CACAO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO,ALTA VERAPAZ
16-01-6191-46,16-031,ALTA VERAPAZ,COBAN,COLEGIO PRIVADO MIXTO TECNOLGICO EN INFORMATICA,2A. CALLE 12-23 ZONA 4,['79511459'],PATRICIO NAJARRO ASENCIO,JORGE SALVADOR JUAREZ SIERRA,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO,ALTA VERAPAZ
16-01-8294-46,16-031,ALTA VERAPAZ,COBAN,LICEO PREUNIVERSITARIO DEL NORTE,3A. AVENIDA 8-32 BARRIO LA LIBERTAD ZONA 10,['49745753'],PATRICIO NAJARRO ASENCIO,OSCAR ALFREDO MOLINA CU,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,DIARIO,ALTA VERAPAZ
16-01-8331-46,16-031,ALTA VERAPAZ,COBAN,LICEO PREUNIVERSITARIO DEL NORTE,3A. AVENIDA 8-32 BARRIO LA LIBERTAD ZONA 10,['49745753'],PATRICIO NAJARRO ASENCIO,ZOILA IMENA LOPEZ RODAS,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,ALTA VERAPAZ
16-01-8335-46,16-031,ALTA VERAPAZ,COBAN,COLEGIO DE INFORMATICA CENINFAV,12 AV. 2-12 ZONA 1,['79545566'],PATRICIO NAJARRO ASENCIO,MARIA MAGDALENA BOL CU,PRIVADO,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO,ALTA VERAPAZ
16-01-9067-46,16-005,ALTA VERAPAZ,COBAN,ESCUELA NORMAL DE EDUCACION FISICA,CALZADA RABIN AJAU ZONA 11,['79523686'],NORA LILIANA FIGUEROA HERNANDEZ,BERTA MARIA MENDEZ RODRIGUEZ,OFICIAL,URBANA,ABIERTA,MONOLINGUE,DOBLE,DIARIO,ALTA VERAPAZ
16-01-9095-46,16-031,ALTA VERAPAZ,COBAN,COLEGIO PRIVADO MIXTO TECNOLOGICO EN INFORMATICA,2A. CALLE 12-23 ZONA 4,['79511459'],PATRICIO NAJARRO ASENCIO,DANIEL BERNARDO RAMIREZ GONZALEZ,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO,ALTA VERAPAZ
16-01-9102-46,16-031,ALTA VERAPAZ,COBAN,COLEGIO MIXTO EVANGELICO NAZARENO,6A. CALLE 8-10 ZONA 10 CERRITO EL CARACOL COBÁN,['79511866'],PATRICIO NAJARRO ASENCIO,ANA MARIA YAT COY,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO,ALTA VERAPAZ
